market,slug,clobID,closingDate,outcome,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,volume
US inauguration on January 20?,us-inauguration-on-january-20,329365615946223515173940433418135428165795615354296477295276007932036541995,2025-01-20T12:00:00Z,True,0.9875,0.99,0.9905,0.9915,0.9905,0.9885,0.967,1589214.623886
Will Biden issue a preemptive pardon?,will-biden-issue-a-preemptive-pardon,26642199865362657045838211421244073951915987853540695035357629321017595476406,2025-01-20T12:00:00Z,True,0.525,0.53,0.5549999999999999,0.505,0.505,0.51,0.64,165670.878169
Will Biden pardon Fauci?,will-biden-pardon-anthony-fauci,9288034985674056289013457372670932016374222303435898071621911334944486342072,2025-01-20T12:00:00Z,False,0.6950000000000001,0.7050000000000001,0.76,0.745,0.725,0.745,0.7,1735202.975087
Will every president attend Trump’s inauguration?,will-every-president-attend-trumps-inauguration,72212659279300407464200062677673130860252811183896819705210592665508507543256,2025-01-20T12:00:00Z,True,0.915,0.915,0.972,0.968,0.9585,0.956,0.9845,178100.195147
Will Biden pardon Liz Cheney?,will-biden-pardon-liz-cheney,65947006637726090128067448593306322315163104990655521671104722487129912006469,2025-01-20T12:00:00Z,False,0.69,0.6799999999999999,0.76,0.6799999999999999,0.7050000000000001,0.7050000000000001,0.5700000000000001,1792506.753123
Less than 26m people watch Trump inauguration?,less-than-26m-people-watch-trump-inauguration,110108379783144581800717336309038351242459417435961447679158816579851620544556,2025-01-20T12:00:00Z,False,0.795,0.76,0.77,0.8049999999999999,0.825,0.815,0.845,184890.419062
Will 44m or more people watch Trump inauguration?,will-44m-or-more-people-watch-trump-inauguration,4357190120061031503813806161703729968372603031461824929283459019693926739698,2025-01-20T12:00:00Z,True,0.9535,0.977,0.9695,0.9825,0.987,0.9435,0.946,189435.531969
Will Barack Obama attend presidential inauguration?,will-barack-obama-attend-presidential-inauguration,27670431387557755271414697634685934334355455561526927096078904061443693946519,2025-01-20T12:00:00Z,True,0.9645,0.9675,0.991,0.9915,0.987,0.957,0.9845,219703.50564
Will Trump pardon January 6 protestors on Day 1?,will-trump-pardon-anyone-on-day-1,113103729052197437215965481144533340308537427466740618313060008278043022664611,2025-01-20T12:00:00Z,True,0.72,0.705,0.67,0.73,0.745,0.655,0.675,223395.755701
Will Mark Zuckerberg attend presidential inauguration?,will-mark-zuckerberg-attend-presidential-inauguration,585123285137884796440822427300980645493913950454329731860744904403787214075,2025-01-20T12:00:00Z,True,0.79,0.845,0.984,0.9845,0.99,0.916,0.9455,229224.487237
